Start Station Key,Station Name,Station Geometry,Total_x,Total_y,diff,bike-out more than bike-in
99,Torrence Ave & 106th St,POINT (-87.559726238 41.70280085),,,,False
100,Clyde Ave & 87th St,POINT (-87.57274031600001 41.737151464),10.0,8.0,2.0,True
101,Constance Ave & 95th St,POINT (-87.578968406 41.722290741),21.0,20.0,1.0,True
102,Avenue O & 118th St,POINT (-87.53793122299999 41.681001459),,,,False
103,Burnham Greenway & 105th St,POINT (-87.52823174 41.70457508699999),,,,False
104,Phillips Ave & 83rd St,POINT (-87.56506 41.744531),182.0,178.0,4.0,True
105,Exchange Ave & 79th St,POINT (-87.552812 41.751731),154.0,156.0,-2.0,False
106,Stony Island Ave & South Chicago Ave,POINT (-87.585337 41.751173),132.0,132.0,0.0,False
107,South Chicago Ave & 83rd St,POINT (-87.575225 41.743921),66.0,57.0,9.0,True
108,South Chicago Ave & Elliot Ave,POINT (-87.580046 41.747363),27.0,23.0,4.0,True
109,Commercial Ave & 83rd St,POINT (-87.551208 41.744615),198.0,217.0,-19.0,False
110,State St & 54th St,POINT (-87.625923 41.796642),155.0,166.0,-11.0,False
111,Union Ave & Root St,POINT (-87.64327800000001 41.819102),466.0,469.0,-3.0,False
112,Racine Ave & Garfield Blvd,POINT (-87.655073 41.794228),222.0,246.0,-24.0,False
113,Western Blvd & 48th Pl,POINT (-87.683392 41.805661),238.0,282.0,-44.0,False
114,Elizabeth St & 47th St,POINT (-87.656526 41.80839),86.0,73.0,13.0,True
115,Archer (Damen) Ave & 37th St,POINT (-87.683144 41.826712),518.0,562.0,-44.0,False
116,Damen Ave & 51st St,POINT (-87.674684 41.800908),66.0,75.0,-9.0,False
117,Throop St & 52nd St,POINT (-87.657195 41.79965900000001),78.0,77.0,1.0,True
118,Princeton Ave & Garfield Blvd,POINT (-87.633124 41.794982),164.0,155.0,9.0,True
119,Halsted St & 37th St,POINT (-87.64572 41.82705900000001),511.0,509.0,2.0,True
120,Wentworth Ave & 35th St,POINT (-87.632504 41.830777),411.0,379.0,32.0,True
