station_key,station_name,station_dock_in_service,station_geometry,Ridership_per_Dock,longitude,latitude
607,South Shore Dr & 71st St,15,POINT (-87.565687572 41.76640945699999),0.60680272,-87.565687572,41.76640945699999
608,Jeffery Blvd & 67th St,11,POINT (-87.577142826 41.773517551),0.33858998,-87.577142826,41.773517551
609,Jeffery Blvd & 76th St,11,POINT (-87.575839359 41.757120068),0.09786642,-87.575839359,41.757120068
610,Rainbow Beach,15,POINT (-87.54938625 41.757871448),0.12823129,-87.54938625,41.757871448
611,South Shore Dr & 74th St,11,POINT (-87.55927465000001 41.76218896),0.3093692,-87.55927465000001,41.76218896
612,Milwaukee Ave & Grand Ave,19,POINT (-87.64838399999999 41.891578),2.53598281,-87.64838399999999,41.891578
613,Noble St & Milwaukee Ave,15,POINT (-87.6626 41.90068),1.89387755,-87.6626,41.90068
614,Ashland Ave & Blackhawk St,15,POINT (-87.667252 41.907066),2.19421769,-87.667252,41.907066
615,Carpenter St & Huron St,19,POINT (-87.65344899999999 41.894556),1.48845328,-87.65344899999999,41.894556
616,Eckhart Park,19,POINT (-87.66098386 41.89637337),1.60257787,-87.66098386,41.89637337
617,Ashland Ave & Grand Ave,15,POINT (-87.666611 41.89107199999999),1.03945578,-87.666611,41.89107199999999
618,Cherry Ave & Blackhawk St,15,POINT (-87.655618 41.907221),0.17619048,-87.655618,41.907221
619,Ogden Ave & Race Ave,15,POINT (-87.658751 41.891795),1.87857143,-87.658751,41.891795
620,Sheffield Ave & Kingsbury St,15,POINT (-87.65310600000001 41.910522),2.54931973,-87.65310600000001,41.910522
621,Elston Ave & Wabansia Ave,23,POINT (-87.664169 41.912919),0.41348713,-87.664169,41.912919
622,Halsted St & North Branch St,15,POINT (-87.64847987500001 41.899368439),0.35034014,-87.64847987500001,41.899368439
623,Dayton St & North Ave,19,POINT (-87.649421929 41.910578035),1.5311493,-87.649421929,41.910578035
624,Ogden Ave & Chicago Ave,19,POINT (-87.654061273 41.896362458),1.51960258,-87.654061273,41.896362458
625,Stetson Ave & South Water St,19,POINT (-87.62232 41.886835),1.68340494,-87.62232,41.886835
626,Wabash Ave & Wacker Pl,19,POINT (-87.62603 41.886875),2.50993555,-87.62603,41.886875
627,Michigan Ave & Lake St,35,POINT (-87.624117 41.886024),2.19708455,-87.624117,41.886024
628,Columbus Dr & Randolph St,55,POINT (-87.61952099999999 41.884728),1.48293135,-87.61952099999999,41.884728
629,Clark St & Randolph St,39,POINT (-87.63188991 41.884576228),0.90973312,-87.63188991,41.884576228
630,Dusable Harbor,39,POINT (-87.612813 41.886976),1.27119309,-87.612813,41.886976
631,Clark St & Lake St,27,POINT (-87.630876058 41.886020828),1.72562358,-87.630876058,41.886020828
632,State St & Randolph St,27,POINT (-87.627733569 41.884730201),1.86923658,-87.627733569,41.884730201
633,Field Blvd & South Water St,19,POINT (-87.61751654700001 41.886349063),1.82411386,-87.61751654700001,41.886349063
634,2112 W Peterson Ave,11,POINT (-87.683593 41.991178),0.28571429,-87.683593,41.991178
635,Western Ave & Granville Ave,11,POINT (-87.68943828200001 41.994161369),0.44341373,-87.68943828200001,41.994161369
636,Maplewood Ave & Peterson Ave,11,POINT (-87.69336964 41.990236029),0.24211503,-87.69336964,41.990236029
637,Budlong Woods Library,11,POINT (-87.69642256100001 41.983664709),0.33627087,-87.69642256100001,41.983664709
638,Kildare Ave & Montrose Ave,15,POINT (-87.73569000000001 41.96108),0.17414966,-87.73569000000001,41.96108
639,Keystone Ave & Montrose Ave,11,POINT (-87.728970101 41.961108016),0.33209647,-87.728970101,41.961108016
640,Central Park Ave & 24th St,11,POINT (-87.715068 41.8481),0.07282004,-87.715068,41.8481
641,California Ave & 21st St,15,POINT (-87.695742399 41.853804066),0.21632653,-87.695742399,41.853804066
642,Central Park Ave & Ogden Ave,15,POINT (-87.715117335 41.854063504),0.11836735,-87.715117335,41.854063504
643,Kedzie Ave & 21st St,11,POINT (-87.705073032 41.853533632),0.11502783,-87.705073032,41.853533632
644,Kedzie Ave & 24th St,11,POINT (-87.705413746 41.848190945),0.09925788,-87.705413746,41.848190945
645,Albany Ave & 26th St,11,POINT (-87.702013013 41.844475014),0.13404453,-87.702013013,41.844475014
646,Millard Ave & 26th St,7,POINT (-87.71607220200001 41.8445571),0.22740525,-87.71607220200001,41.8445571
647,California Ave & 26th St,11,POINT (-87.69529592299999 41.844040031),0.05890538,-87.69529592299999,41.844040031
648,LaSalle St & Washington St,15,POINT (-87.63253 41.882664),1.75238095,-87.63253,41.882664
649,Daley Center Plaza,39,POINT (-87.629634 41.884241),1.1947933,-87.629634,41.884241
650,Michigan Ave & Madison St,19,POINT (-87.625125 41.882134),1.5735768,-87.625125,41.882134
651,Michigan Ave & Washington St,43,POINT (-87.624683976 41.883984065),1.52657807,-87.624683976,41.883984065
652,Keystone Ave & Fullerton Ave,11,POINT (-87.72785 41.92459),0.33998145,-87.72785,41.92459
653,Lake Shore Dr & Monroe St,39,POINT (-87.616743 41.880958),3.12035583,-87.616743,41.880958
654,Millennium Park,47,POINT (-87.62408431999999 41.8810317),2.10811984,-87.62408431999999,41.8810317
655,Dearborn St & Monroe St,39,POINT (-87.629520919 41.881319815),1.16692831,-87.629520919,41.881319815
