End Station Key,Station Name (Dim Station1),Station Geometry (Dim Station1),Morning,Afternoon,Evening,Night
596,Austin Blvd & Chicago Ave,POINT (-87.774704 41.894887),31,80,99,41
597,Central Ave & Chicago Ave,POINT (-87.76490200000001 41.894958),48,126,97,40
598,Central Park Ave & North Ave,POINT (-87.71663195200001 41.909656876),218,333,290,127
599,Spaulding Ave & Division St,POINT (-87.70921957100001 41.902706594),190,583,549,137
600,Yates Blvd & 75th St,POINT (-87.56644 41.758768),36,78,107,15
601,Cornell Dr & Hayes Dr,POINT (-87.584846 41.780595),97,137,145,35
602,Phillips Ave & 79th St,POINT (-87.56521100000001 41.75182),50,74,57,57
603,Bennett Ave & 79th St,POINT (-87.578496 41.751785),12,15,30,6
604,South Shore Dr & 67th St,POINT (-87.567514 41.773643),286,509,520,139
605,Stony Island Ave & 67th St,POINT (-87.58533973899999 41.773458499),102,150,164,39
606,Jeffery Blvd & 71st St,POINT (-87.576450114 41.766638237),102,173,206,103
607,South Shore Dr & 71st St,POINT (-87.565687572 41.76640945699999),550,614,538,97
608,Jeffery Blvd & 67th St,POINT (-87.577142826 41.773517551),144,223,262,74
609,Jeffery Blvd & 76th St,POINT (-87.575839359 41.757120068),31,63,118,20
610,Rainbow Beach,POINT (-87.54938625 41.757871448),59,159,142,24
611,South Shore Dr & 74th St,POINT (-87.55927465000001 41.76218896),129,194,279,61
612,Milwaukee Ave & Grand Ave,POINT (-87.64838399999999 41.891578),1918,3330,3668,829
613,Noble St & Milwaukee Ave,POINT (-87.6626 41.90068),751,1723,2402,585
614,Ashland Ave & Blackhawk St,POINT (-87.667252 41.907066),938,2383,2815,433
615,Carpenter St & Huron St,POINT (-87.65344899999999 41.894556),890,1700,2165,382
616,Eckhart Park,POINT (-87.66098386 41.89637337),777,2051,2780,450
617,Ashland Ave & Grand Ave,POINT (-87.666611 41.89107199999999),561,1119,1361,247
618,Cherry Ave & Blackhawk St,POINT (-87.655618 41.907221),269,180,68,7
619,Ogden Ave & Race Ave,POINT (-87.658751 41.891795),1150,1875,2276,410
620,Sheffield Ave & Kingsbury St,POINT (-87.65310600000001 41.910522),2174,3430,2185,175
621,Elston Ave & Wabansia Ave,POINT (-87.664169 41.912919),539,826,579,73
622,Halsted St & North Branch St,POINT (-87.64847987500001 41.899368439),320,321,293,53
623,Dayton St & North Ave,POINT (-87.649421929 41.910578035),1300,2677,1812,257
624,Ogden Ave & Chicago Ave,POINT (-87.654061273 41.896362458),1252,1848,2102,466
625,Stetson Ave & South Water St,POINT (-87.62232 41.886835),1147,1607,1906,994
626,Wabash Ave & Wacker Pl,POINT (-87.62603 41.886875),1875,2863,2958,1984
627,Michigan Ave & Lake St,POINT (-87.624117 41.886024),3374,4519,4698,2403
628,Columbus Dr & Randolph St,POINT (-87.61952099999999 41.884728),2175,3897,4527,1352
629,Clark St & Randolph St,POINT (-87.63188991 41.884576228),3193,1874,1267,604
630,Dusable Harbor,POINT (-87.612813 41.886976),1666,4018,3326,296
631,Clark St & Lake St,POINT (-87.630876058 41.886020828),2453,2941,2616,807
632,State St & Randolph St,POINT (-87.627733569 41.884730201),1931,3335,3070,1439
633,Field Blvd & South Water St,POINT (-87.61751654700001 41.886349063),1224,2309,2846,518
634,2112 W Peterson Ave,POINT (-87.683593 41.991178),99,241,236,127
635,Western Ave & Granville Ave,POINT (-87.68943828200001 41.994161369),105,434,384,91
636,Maplewood Ave & Peterson Ave,POINT (-87.69336964 41.990236029),55,195,303,50
637,Budlong Woods Library,POINT (-87.69642256100001 41.983664709),97,254,319,60
638,Kildare Ave & Montrose Ave,POINT (-87.73569000000001 41.96108),101,167,191,52
639,Keystone Ave & Montrose Ave,POINT (-87.728970101 41.961108016),97,272,314,69
640,Central Park Ave & 24th St,POINT (-87.715068 41.8481),12,66,65,29
641,California Ave & 21st St,POINT (-87.695742399 41.853804066),151,216,233,40
642,Central Park Ave & Ogden Ave,POINT (-87.715117335 41.854063504),93,89,119,64
643,Kedzie Ave & 21st St,POINT (-87.705073032 41.853533632),29,81,95,45
644,Kedzie Ave & 24th St,POINT (-87.705413746 41.848190945),26,65,84,30
645,Albany Ave & 26th St,POINT (-87.702013013 41.844475014),69,103,121,26
646,Millard Ave & 26th St,POINT (-87.71607220200001 41.8445571),56,155,114,18
647,California Ave & 26th St,POINT (-87.69529592299999 41.844040031),51,35,21,14
648,LaSalle St & Washington St,POINT (-87.63253 41.882664),2527,1644,878,512
649,Daley Center Plaza,POINT (-87.629634 41.884241),3006,2799,2306,635
650,Michigan Ave & Madison St,POINT (-87.625125 41.882134),1546,2064,1543,723
651,Michigan Ave & Washington St,POINT (-87.624683976 41.883984065),2816,4281,3689,2012
652,Keystone Ave & Fullerton Ave,POINT (-87.72785 41.92459),99,290,325,140
653,Lake Shore Dr & Monroe St,POINT (-87.616743 41.880958),3170,9671,9118,1573
654,Millennium Park,POINT (-87.62408431999999 41.8810317),2896,7701,6650,2886
655,Dearborn St & Monroe St,POINT (-87.629520919 41.881319815),3911,2507,1602,693
