Start Station Key,Station Name,Station Geometry,Morning,Afternoon,Evening,Night
174,Lincoln Ave & Sunnyside Ave,POINT (-87.684781 41.963004),625,1309,1225,209
175,Washtenaw Ave & Lawrence Ave,POINT (-87.696027 41.968987),432,806,615,118
176,Kedzie Ave & Foster Ave,POINT (-87.709261 41.975672),173,346,295,91
177,Manor Ave & Leland Ave,POINT (-87.70082499999999 41.965875),301,517,403,75
178,Leavitt St & Lawrence Ave,POINT (-87.68400099999999 41.968885),408,637,518,118
179,Western Ave & Leland Ave,POINT (-87.688418627 41.966494532),727,1401,1233,184
180,Francisco Ave & Foster Ave,POINT (-87.70141943899999 41.975632725),264,661,578,96
181,Damen Ave & Foster Ave,POINT (-87.67945903899999 41.975614805),657,978,965,179
182,St. Louis Ave & Balmoral Ave,POINT (-87.716114961 41.980394235),112,396,190,15
183,Lincoln Ave & Winona St,POINT (-87.69250255899999 41.974911297),379,626,478,71
184,Christiana Ave & Lawrence Ave,POINT (-87.711830667 41.968354494),203,403,299,111
185,Kedzie Ave & Leland Ave,POINT (-87.708051981 41.966686362),167,414,333,95
186,Rockwell St & Eastwood Ave,POINT (-87.693638494 41.96590014),501,638,419,70
187,Campbell Ave & Montrose Ave,POINT (-87.691165041 41.961525933),484,674,562,92
188,Kedzie Ave & Bryn Mawr Ave,POINT (-87.70892252 41.982397085),137,351,236,40
189,Drake Ave & Montrose Ave,POINT (-87.71656907299999 41.961154076),205,272,236,34
190,Central Park Ave & Bloomingdale Ave,POINT (-87.71675500000001 41.91416599999999),325,699,526,44
191,California Ave & Altgeld St,POINT (-87.69766800000001 41.92669),595,932,872,199
192,California Ave & Milwaukee Ave,POINT (-87.697153 41.922695),1262,2198,2057,471
193,Kedzie Ave & Milwaukee Ave,POINT (-87.70785699999999 41.929567),1342,2891,2228,611
194,Leavitt St & North Ave,POINT (-87.68238902100001 41.910509367),883,1251,1098,270
195,Damen Ave & Charleston St,POINT (-87.67785500000001 41.920082),801,1177,1010,183
196,Western Ave & Winnebago Ave,POINT (-87.687022 41.91552),1217,1767,1633,367
197,Stave St & Armitage Ave,POINT (-87.69139200000001 41.917741),575,872,926,191
198,Milwaukee Ave & Rockwell St,POINT (-87.69265919899999 41.920195562),521,994,1072,182
199,Kedzie Ave & Palmer Ct,POINT (-87.70732199999999 41.921525),641,1212,1001,264
